method,target,area,latitude,longitude,status,exports,NumberTows,taxon
trawl,'Jack mackerel',Taranaki,173.241059,-39.770584,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.258571,-40.56399,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.26656,-40.53901,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.243453,-40.534747,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.091825,-40.375022,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.094808,-40.394272,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.113414,-40.410567,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.111794,-40.375691,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.085798,-40.415173,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.085302,-40.399785,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,173.999451,-40.28639,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.008196,-40.276137,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.279216,-40.569756,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.275982,-40.570189,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.527861,-40.776917,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.558589,-40.808537,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.528552,-40.815746,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.533804,-40.791713,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.536992,-40.801736,dead,1087227089,64011,Dolphin
trawl,'Jack mackerel',Taranaki,174.544602,-40.781886,dead,1087227089,64011,Dolphin
