 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0553128,-46.70428957,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.025787,-46.69685118,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0322421,-46.7081541,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0575647,-46.68337884,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0573766,-46.6851939,,dead,Bird
2002/2003,imputation,net,trawl,Hoki,Fiordland,165.8997517,-46.08526516,,alive,Bird
2002/2003,observer,,bottom longline,Ling,Chatham Rise,182.4340037,-43.90242099,,dead,Bird
2002/2003,observer,,trawl,Hoki,Fiordland,166.0413724,-46.76400362,,dead,Seal
2002/2003,observer,other,bottom longline,Ling,Chatham Rise,182.5394951,-43.93343157,,killed,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,165.8114922,-46.2957546,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,Fiordland,165.9208427,-46.07577746,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,Fiordland,165.9238507,-46.10636444,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.066635,-46.68473204,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0730309,-46.708156,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0516398,-46.69977357,deck,alive,Bird
2002/2003,observer,,trawl,Southern blue whiting,Subantarctic,171.7316652,-52.6369866,,dead,Seal
2002/2003,observer,hook,bottom longline,Ling,Stewart Snares Shelf,167.1142941,-46.68613416,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0916294,-46.69839218,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0903593,-46.68271119,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0978296,-46.67882328,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0816035,-46.70677967,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,166.9944663,-46.7532803,,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9993678,-46.73326452,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9855965,-46.74056561,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9911596,-46.7329706,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9797444,-46.73511047,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.987363,-46.7611031,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9808563,-46.7271048,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9759211,-46.7727475,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9828072,-46.77318077,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0177994,-46.75774417,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9774414,-46.74253466,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0059713,-46.76504418,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0143851,-46.72739928,deck,alive,Bird
2002/2003,necropsy,unknown,bottom longline,Ling,Stewart Snares Shelf,166.9817775,-46.7748523,,dead,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0211761,-46.76005776,deck,alive,Bird
2002/2003,observer,,trawl,Scampi,Chatham Rise,176.911258,-43.05240383,,dead,Seal
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0870618,-46.7556971,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1209022,-46.7477265,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1201562,-46.72013876,deck,alive,Bird
2002/2003,necropsy,mitigation device,bottom longline,Ling,Stewart Snares Shelf,167.0807527,-46.68570437,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.5372789,-47.68604815,,dead,Bird
2002/2003,necropsy,tangled,bottom longline,Ling,Stewart Snares Shelf,167.0690825,-46.71680588,,dead,Bird
2002/2003,necropsy,unknown,trawl,Scampi,Chatham Rise,177.2104806,-42.88351863,,dead,Bird
2002/2003,observer,lost,trawl,Scampi,Chatham Rise,176.5399735,-43.04214941,lost,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.0249296,-46.73190786,,dead,Bird
2002/2003,observer,hook,bottom longline,Ling,Stewart Snares Shelf,167.0244216,-46.76511458,,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,166.996761,-46.75654969,,dead,Bird
