X,Y,OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS
176.2966381,-39.93175952,1909,A’Deanes Bush Walk,Take a walk through beautiful native forest dominated by matai and kahikatea as well as a large totara tree. The reserve is on a flat river terrace.,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/118760/adeanes-bush-223.jpg,https://www.doc.govt.nz/link/85A03159-3167-4699-9BD1-E0950FBDCFC4.aspx,2018-06-22T04:19:12.000Z
172.4014761,-42.37952369,1910,Alpine Nature Walk,The Alpine Nature Walk in Lewis Pass provides an opportunity to break up a long drive while enjoying spectacular scenery and beech forest.,Easiest,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/43754/start-st-james-walkway-1000.jpg,https://www.doc.govt.nz/link/ADF7CF3E-41C1-41AD-8508-5286DB4889BE.aspx,2018-06-22T04:19:14.000Z
178.3084304,-38.2313073,1911,Anaura Bay Walkway,"This track passes through coastal forest, pine-clad valleys and dense native bush - with a fairly easy grade it's suitable for children, although some climbing is required and there are a few steep places.",Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18283/anaura-bay-223.jpg,https://www.doc.govt.nz/link/77F5F6D4-2719-45C4-A52B-D9460F2E8B89.aspx,2018-06-22T04:19:14.000Z
172.6229023,-40.75209804,1912,Aorere Goldfields Track,"Aorere Goldfields Track is a 3-hour loop, which gives you access to explore some of the more accessible gold-mining remnants.",Easy,3 hr circuit,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/26400/aorere-goldfields-1200.jpg,https://www.doc.govt.nz/link/C94B10D7-2890-4DBC-BE63-8770E89C8FA2.aspx,2018-06-22T04:19:15.000Z
174.0937593,-39.27213748,1913,Around the Mountain Circuit,The challenging Around the Mountain Circuit (AMC) offers you spectacular bush and alpine scenery. It is best tramped from October to April.,"Advanced,Expert",4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/26103/mt-taranaki-tarns-1200.jpg,https://www.doc.govt.nz/link/6473C18C-3A69-492E-B126-443749687CFA.aspx,2018-06-22T04:19:15.000Z
175.1388144,-39.72710868,1914,Atene Skyline Track,The Atene Skyline Track has spectacular views and a campsite for trampers wanting to stay the night.,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/14824/atene-220.jpg,https://www.doc.govt.nz/link/608BED85-0D52-45F8-A019-0B7C3F425F3A.aspx,2018-06-22T04:19:15.000Z
169.146338,-45.0770941,1915,Bannockburn Sluicings,This vanished landscape is New Zealand’s own wild west: The Bannockburn Sluicings are the scarred landscapes of a short-lived goldmining era. ,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/38459/bannockburn-sluicings-track-1200.jpg,https://www.doc.govt.nz/link/7A1EBD3A-6DAF-42EF-9A4F-5094D695B230.aspx,2018-06-22T04:19:15.000Z
176.329267,-38.18742882,1916,Blue Lake Track,Enjoy native bush and quiet beaches. The track provides good opportunities to look out over the Blue Lake (Tikitapu) and Green Lake (Rotokakahi).,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16603/blue-lake-1920.jpg,https://www.doc.govt.nz/link/47FEDB4F-648D-4E8C-B566-4F9AEA371FC1.aspx,2018-06-22T04:19:16.000Z
169.810247,-44.870071,1917,Blue Lake walks,"Enjoy one of the walks around historic, man-made Blue Lake in St Bathans and view sluicings and gold mining remains.","Easiest,Advanced",30 min to 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/27955/blue-lakes-1200.jpg,https://www.doc.govt.nz/link/737838D5-A167-4C39-BF95-2985BF23E6D0.aspx,2018-06-22T04:19:16.000Z
169.2762875,-44.16419766,1918,Blue Pools Track,"Nestled among mature beech and podocarp forest, these pools of deep, clear water flowing into the Makarora River offer a moment of tranquillity. This is one of our best short walks.",Easiest,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/61291/blue-pools-bridge-1200.jpg,https://www.doc.govt.nz/link/3943C733-04F5-45E7-9C57-8060D080FA96.aspx,2018-06-22T04:19:16.000Z
