OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS,Shape__Length
4709,Asbestos Cottage tracks,Walk to an historic cottage (built 1897) that was home to a reclusive couple for nearly 40 years.,Advanced,2 hr | 4 - 5 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/151894/asbeston-cottage-track-1200.jpg,https://www.doc.govt.nz/link/84C9D244-0BE1-4D91-B102-BF634E9009D8.aspx,2018-06-22T04:19:24.000Z,10853.43685
4710,Atleys Track,You can see many historic gold mining features from Atleys Track and there are superb views from the summit of Mt Dewar.,Advanced,5 - 6 hr ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/48486/atleys-track-sign-1920.jpg,https://www.doc.govt.nz/link/33D533B8-EA71-4274-BBA2-0597EBE5FAC5.aspx,2018-06-22T04:19:25.000Z,3531.871516
4711,Avalanche Peak - Crow River Route,"This route makes a good weekend trip, all against a backdrop of some of the best features of Arthur’s Pass National Park – glaciers, mountain peaks and ice-fed rivers. Crow Hut is at the bush edge in an alpine meadow.",Expert,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18959/avalanche-peak-to-crow-hut-route-220.jpg,https://www.doc.govt.nz/link/B015ECE4-5134-49B2-8788-8607663B616E.aspx,2018-06-22T04:19:25.000Z,11802.6525
4712,Big Bend Track,The Big Bend Track follows the Orongorongo River and connects the Orongorongo Track with the Whakanui Track.,Intermediate,1 hr 30 min one way from Turere Bridge,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19627/big-bend-track-600.jpg,https://www.doc.govt.nz/link/DF2DBD3E-1599-4827-B3F8-D80EE2E983D4.aspx,2018-06-22T04:19:26.000Z,3105.242282
4713,Blue Lake walks,"Enjoy one of the walks around historic, man-made Blue Lake in St Bathans and view sluicings and gold mining remains.","Easiest,Advanced",30 min to 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/27955/blue-lakes-1200.jpg,https://www.doc.govt.nz/link/737838D5-A167-4C39-BF95-2985BF23E6D0.aspx,2018-06-22T04:19:16.000Z,4692.15523
4714,Blue Pools Track,"Nestled among mature beech and podocarp forest, these pools of deep, clear water flowing into the Makarora River offer a moment of tranquillity. This is one of our best short walks.",Easiest,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/61291/blue-pools-bridge-1200.jpg,https://www.doc.govt.nz/link/3943C733-04F5-45E7-9C57-8060D080FA96.aspx,2018-06-22T04:19:16.000Z,753.8049289
4715,Blue Valley Track,"This track is easily accessible and an interesting day or overnight trip.

",Advanced,2-3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/DF40312D-F359-4045-8072-7AA12B1AFF64.aspx,2018-06-22T04:19:26.000Z,15933.36448
4716,A Frame Hut & Takapari Road Track,Head to Tamaki Road end by following the track up through forest to Takapari Road. From there you’ll follow a bulldozed road 100 m to the hut. ,Advanced,2 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20051/tops-223.jpg,https://www.doc.govt.nz/link/0C3B4CE6-4C56-412C-9BB8-87A78524C45B.aspx,2018-06-22T04:19:21.000Z,2456.580522
4717,A’Deanes Bush Walk,Take a walk through beautiful native forest dominated by matai and kahikatea as well as a large totara tree. The reserve is on a flat river terrace.,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/118760/adeanes-bush-223.jpg,https://www.doc.govt.nz/link/85A03159-3167-4699-9BD1-E0950FBDCFC4.aspx,2018-06-22T04:19:12.000Z,710.5992183
4718,Abel Tasman Coast Track,"Blessed with a mild climate, golden beaches and lush coastal native bush, the Abel Tasman Coast Track has it all.",Intermediate,3 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/12943/abel-tasman-1200.jpg,https://www.doc.govt.nz/link/114FF80D-12F4-4F0B-8384-103F0C8E6EFC.aspx,2018-06-22T04:19:21.000Z,64698.66557
